Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Caíque França Godoy-Sport Recife;Hereda-Sport Recife;João Silva-Sport Recife;Francisco Alves da Silva Neto-Sport Recife;Igor Aquino da Silva-Sport Recife;Christian Rivera-Sport Recife;Zé Lucas-Sport Recife;Rodrigo Atencio-Sport Recife;Lucas Lima-Sport Recife;Chrystian Barletta-Sport Recife;Pablo Felipe Teixeira-Sport Recife;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Du Queiroz-Sport Recife;Carlos Alberto Gomes da Silva Filho-Sport Recife;Gonçalo Paciência-Sport Recife;Lucas Cunha-Sport Recife;Sérgio Oliveira-Sport Recife;Arthur Sousa-Sport Recife;Matheus Alexandre Anastácio de Souza-Sport Recife;Fabricio Domínguez Huertas-Sport Recife;Lenny Lobato-Sport Recife;Rafael Thyere-Sport Recife;Dalbert Henrique-Sport Recife;Julián Fernández-Sport Recife;Christian Ortiz-Sport Recife;André Felipe de Almeida Santos-Sport Recife;Felipe-Sport Recife;José Roberto Assunção de Araújo Filho-Sport Recife;Gustavo Coutinho-Sport Recife;Fábio Gonçalves-Sport Recife;Wellington Silva-Sport Recife;Thiago-Sport Recife;Luciano Castán-Sport Recife;Leonel Di Plácido-Sport Recife;Pedro Victor Martins Silva Costa-Sport Recife;Lucas André Silva da Costa-Sport Recife;Allyson Aires dos Santos-Sport Recife;Luciano Silva Santos-Sport Recife;Fábio Matheus Ribeiro Lima-Sport Recife;Helibelton Palacios-Sport Recife;Alisson Cassiano-Sport Recife;Roberto Rosales-Sport Recife;Nassom de Souza Oliveira-Sport Recife;Pedro Vilhena-Sport Recife;Riquelme-Sport Recife;Pedro Lima-Sport Recife;Alan Ruiz-Sport Recife;Romarinho-Sport Recife;Jordan-Sport Recife;Ewerthon Diógenes da Silva-Sport Recife;Jorge de Moura Xavier-Sport Recife;Francisco Edson Moreira da Silva-Sport Recife;Fabrício Daniel de Souza-Sport Recife;Wanderson Cristaldo Farias-Sport Recife;Carlos Eduardo Santos Oliveira-Sport Recife;Facundo Labandeira Castro-Sport Recife;Edison Custódio dos Santos-Sport Recife;Vágner Love-Sport Recife;Diego Souza-Sport Recife;Denis César de Matos-Sport Recife;Nathan Mendes da Silva-Sport Recife;José Sabino Chagas Monteiro-Sport Recife;Ronaldo Henrique-Sport Recife;João Peglow-Sport Recife;Renzo Azevedo Pimentel de Moura-Sport Recife;Renan dos Santos-Sport Recife;Luciano Batista da Silva Junior-Sport Recife;Victor Gabriel-Sport Recife;Juan Cláudio de Faria Xavier-Sport Recife;Helber Ítalo dos Santos-Sport Recife;Matheus de Vargas-Sport Recife;Gabriel Santos-Sport Recife
2024-11-10;Sport Recife;29;1;1;679;688;Chapecoense;0;2;23;4;3;2;0.64;0.36;463;0.77;10;18;0;2;0;0;8;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0;0.09;0.0;357;0.0280112044817927;557.8125;0.3478260869565217;12.5;19;0.28;8;-2;-8;0.0496760259179265;0.0434782608695652;0.64;8.0;0;1;1;0;1;0;0;1;0.0434782608695652;0.3333333333333333;0.0021598272138228;23.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-04;Sport Recife;29;1;3;679;685;Operário;4;3;11;26;4;9;0.29;0.71;211;0.61;13;17;3;3;1;0;2;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;10;0.0273076923076923;0.3076923076923077;129;0.1007751937984496;444.82758620689657;0.1818181818181818;6.896551724137932;-15;-0.42;-8;1;-4;0.0521327014218009;0.0909090909090909;0.29;2.0;1;0;1;0;0;1;1;0;0.0909090909090909;0.25;0.0047393364928909;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-10-28;Sport Recife;29;1;7;679;682;América-MG;2;2;10;10;1;4;0.6;0.4;535;0.84;12;8;2;2;0;0;7;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;3;0.04;0.1666666666666666;449;0.0267260579064587;748.3333333333334;0.7;11.666666666666668;0;0.1999999999999999;4;0;4;0.0186915887850467;0.1;0.6;7.0;0;1;1;0;0;1;1;0;0.1;1.0;0.0018691588785046;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-10-24;Sport Recife;29;1;1;679;668;Guarani;0;2;14;12;7;5;0.54;0.46;482;0.87;15;11;0;2;0;0;6;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;4;0.0383333333333333;0.0;419;0.035799522673031;775.9259259259259;0.4285714285714285;11.11111111111111;2;0.08;2;-2;4;0.0290456431535269;0.2857142857142857;0.135;1.5;3;1;4;1;0;0;0;1;0.2857142857142857;0.5714285714285714;0.0082987551867219;3.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-10-20;Sport Recife;29;1;6;679;673;Botafogo RP;4;4;8;9;3;3;0.56;0.44;440;0.8;25;13;4;4;0;0;5;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1;0.0488888888888888;0.16;352;0.0710227272727272;628.5714285714286;0.625;8.928571428571427;-1;0.12;4;0;12;0.0181818181818181;0.375;0.1866666666666666;1.6666666666666667;2;1;3;1;0;0;0;1;0.375;1.0;0.0068181818181818;2.6666666666666665;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-10-16;Sport Recife;29;14;0;679;685;Operário;3;3;11;5;4;3;0.56;0.44;421;0.76;15;14;3;3;0;0;12;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1;0.088;0.2;320;0.046875;571.4285714285713;1.0909090909090908;21.428571428571427;6;0.12;11;0;1;0.0261282660332541;0.0909090909090909;0.56;12.0;1;0;1;0;0;1;0;1;0.0909090909090909;0.25;0.002375296912114;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-10-11;Sport Recife;29;1;6;679;671;Novorizontino;4;3;8;20;7;6;0.41;0.59;288;0.57;18;18;4;3;0;0;5;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;6;0.0295;0.2222222222222222;164;0.1097560975609756;400.0;0.625;12.195121951219512;-12;-0.18;-1;1;0;0.0277777777777777;0.375;0.1366666666666666;1.6666666666666667;2;1;3;1;0;0;1;0;0.375;0.4285714285714285;0.0104166666666666;2.6666666666666665;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-10-07;Sport Recife;29;1;0;679;680;Ceará;6;5;14;15;3;3;0.52;0.48;333;0.73;10;8;6;5;0;0;4;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;6;0.032;0.6;243;0.0411522633744856;467.30769230769226;0.2857142857142857;7.692307692307692;-1;0.04;-2;1;2;0.042042042042042;0.1428571428571428;0.26;2.0;0;2;2;1;0;0;0;1;0.1428571428571428;0.6666666666666666;0.006006006006006;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-09-29;Sport Recife;29;1;0;679;670;Mirassol;2;1;4;8;0;3;0.49;0.51;439;0.84;17;7;2;1;0;0;4;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;3;0.06375;0.1176470588235294;369;0.046070460704607;753.0612244897959;1.0;8.16326530612245;-4;-0.02;1;1;10;0.0091116173120728;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-09-23;Sport Recife;29;1;3;679;689;Paysandu;4;5;8;15;3;2;0.38;0.62;271;0.73;17;16;4;5;0;0;1;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;9;0.0413333333333333;0.2352941176470588;198;0.0858585858585858;521.0526315789474;0.125;2.631578947368421;-7;-0.24;-8;-1;1;0.029520295202952;0.125;0.38;1.0;0;1;1;1;0;0;1;0;0.125;0.3333333333333333;0.003690036900369;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-09-18;Sport Recife;29;8;3;679;683;Goiás;6;8;20;8;6;2;0.55;0.45;351;0.75;16;13;6;8;0;0;11;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;5;0.05625;0.375;263;0.0608365019011406;478.1818181818181;0.55;20.0;12;0.1;6;-2;3;0.0569800569800569;0.05;0.55;11.0;1;0;1;0;1;0;0;1;0.05;0.1666666666666666;0.0028490028490028;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
